parent_taxon_id,taxon_id,rank_level,leaf_class_id,name
,1,70.0,,Animalia
1,2,60.0,,Chordata
355675,3,50.0,,Aves
3,4,40.0,,Gruiformes
4,154,30.0,,Rallidae
154,472,20.0,,Fulica
472,473,10.0,0,Fulica americana
3,573,40.0,,Galliformes
573,574,30.0,,Phasianidae
574,905,20.0,,Meleagris
905,906,10.0,1,Meleagris gallopavo
3,2708,40.0,,Columbiformes
2708,2715,30.0,,Columbidae
2715,2926,20.0,,Streptopelia
2926,2969,10.0,2,Streptopelia decaocto
2715,3000,20.0,,Columba
3000,3017,10.0,3,Columba livia
2715,3438,20.0,,Zenaida
3438,3454,10.0,4,Zenaida macroura
3438,3460,10.0,5,Zenaida asiatica
71268,4262,30.0,,Phalacrocoracidae
4262,4263,20.0,,Phalacrocorax
4263,4265,10.0,6,Phalacrocorax auritus
67566,4323,30.0,,Pelecanidae
4323,4324,20.0,,Pelecanus
4324,4328,10.0,7,Pelecanus occidentalis
4324,4334,10.0,8,Pelecanus erythrorhynchos
67561,4342,30.0,,Laridae
447155,4343,20.0,,Larus
4343,4364,10.0,9,Larus delawarensis
67570,4637,30.0,,Falconidae
4637,4638,20.0,,Falco
4638,4665,10.0,10,Falco sparverius
71306,4755,20.0,,Cathartes
4755,4756,10.0,11,Cathartes aura
71306,4764,20.0,,Coragyps
4764,4765,10.0,12,Coragyps atratus
67561,4783,30.0,,Charadriidae
4783,4784,20.0,,Charadrius
4784,4793,10.0,13,Charadrius vociferus
67566,4929,30.0,,Ardeidae
597395,4933,20.0,,Egretta
4933,4940,10.0,14,Egretta thula
597395,4950,20.0,,Ardea
4950,4954,10.0,15,Ardea cinerea
4950,4956,10.0,16,Ardea herodias
597395,4979,20.0,,Nycticorax
4979,4981,10.0,17,Nycticorax nycticorax
597395,5019,20.0,,Butorides
5019,5020,10.0,18,Butorides virescens
71261,5067,30.0,,Accipitridae
5067,5085,20.0,,Accipiter
5085,5112,10.0,19,Accipiter cooperii
5067,5179,20.0,,Buteo
5179,5206,10.0,20,Buteo lineatus
5179,5212,10.0,21,Buteo jamaicensis
5067,5303,20.0,,Haliaeetus
5303,5305,10.0,22,Haliaeetus leucocephalus
67573,5562,30.0,,Trochilidae
5562,6315,20.0,,Calypte
6315,6317,10.0,23,Calypte anna
3,6888,40.0,,Anseriformes
6888,6912,30.0,,Anatidae
6912,6913,20.0,,Cygnus
6913,6921,10.0,24,Cygnus olor
6912,6922,20.0,,Anas
6922,6930,10.0,25,Anas platyrhynchos
6912,7086,20.0,,Branta
7086,7089,10.0,26,Branta canadensis
6912,7105,20.0,,Aix
7105,7107,10.0,27,Aix sponsa
3,7251,40.0,,Passeriformes
7251,7423,30.0,,Bombycillidae
7423,7427,20.0,,Bombycilla
7427,7428,10.0,28,Bombycilla cedrorum
7251,7823,30.0,,Corvidae
7823,7998,20.0,,Corvus
7998,8010,10.0,29,Corvus corax
7998,8021,10.0,30,Corvus brachyrhynchos
7823,8228,20.0,,Cyanocitta
8228,8229,10.0,31,Cyanocitta cristata
7251,9079,30.0,,Fringillidae
71305,9080,20.0,,Cardinalis
9080,9083,10.0,32,Cardinalis cardinalis
559248,9091,20.0,,Melospiza
9091,9100,10.0,33,Melospiza melodia
559248,9132,20.0,,Spizella
9132,9135,10.0,34,Spizella passerina
559248,9175,20.0,,Zonotrichia
9175,9176,10.0,35,Zonotrichia leucophrys
11989,9599,20.0,,Quiscalus
9599,9607,10.0,36,Quiscalus mexicanus
11989,9740,20.0,,Agelaius
9740,9744,10.0,37,Agelaius phoeniceus
559248,10093,20.0,,Junco
10093,10094,10.0,38,Junco hyemalis
71349,10246,20.0,,Setophaga
11989,10368,20.0,,Molothrus
10368,10373,10.0,39,Molothrus ater
7251,11853,30.0,,Hirundinidae
11853,11880,20.0,,Hirundo
11880,11901,10.0,40,Hirundo rustica
7251,11989,30.0,,Icteridae
15977,12705,20.0,,Turdus
12705,12716,10.0,41,Turdus merula
12705,12727,10.0,42,Turdus migratorius
15977,12935,20.0,,Sialia
12935,12942,10.0,43,Sialia sialis
7251,13547,30.0,,Paridae
13547,13548,20.0,,Parus
7251,13685,30.0,,Passeridae
13685,13847,20.0,,Passer
13847,13858,10.0,44,Passer domesticus
7251,14841,30.0,,Sturnidae
14841,14842,20.0,,Sturnus
14842,14850,10.0,45,Sturnus vulgaris
59911,14877,20.0,,Mimus
14877,14886,10.0,46,Mimus polyglottos
7251,15977,30.0,,Turdidae
980017,16446,20.0,,Pyrocephalus
16446,16447,10.0,47,Pyrocephalus rubinus
980017,17007,20.0,,Sayornis
17007,17008,10.0,48,Sayornis phoebe
17007,17013,10.0,49,Sayornis nigricans
3,17550,40.0,,Piciformes
17550,17599,30.0,,Picidae
17599,18158,20.0,,Melanerpes
18158,18205,10.0,50,Melanerpes carolinus
17599,18230,20.0,,Colaptes
18230,18236,10.0,51,Colaptes auratus
355675,20978,50.0,,Amphibia
20978,20979,40.0,,Anura
20979,21359,30.0,,Bufonidae
21359,21360,20.0,,Bufo
20979,25473,30.0,,Ranidae
355675,26036,50.0,,Reptilia
26036,26039,40.0,,Crocodylia
121038,26154,20.0,,Alligator
26154,26159,10.0,52,Alligator mississippiensis
26036,26172,40.0,,Squamata
85553,26504,30.0,,Colubridae
20978,26718,40.0,,Caudata
26718,26909,30.0,,Plethodontidae
787551,27135,20.0,,Plethodon
27135,27186,10.0,53,Plethodon cinereus
26718,27701,30.0,,Salamandridae
787591,27800,20.0,,Notophthalmus
27800,27805,10.0,54,Notophthalmus viridescens
532896,28339,20.0,,Thamnophis
28339,28362,10.0,55,Thamnophis sirtalis
532896,28555,20.0,,Storeria
28555,28562,10.0,56,Storeria dekayi
797520,29033,20.0,,Pituophis
29033,29044,10.0,57,Pituophis catenifer
532896,29299,20.0,,Nerodia
29299,29305,10.0,58,Nerodia sipedon
85553,30667,30.0,,Viperidae
797576,30692,20.0,,Crotalus
30692,30764,10.0,59,Crotalus atrox
85552,31888,30.0,,Anguidae
797512,32049,20.0,,Elgaria
32049,32055,10.0,60,Elgaria multicarinata
371057,33177,30.0,,Gekkonidae
33177,34434,20.0,,Hemidactylus
34434,34435,10.0,61,Hemidactylus turcicus
85552,35278,30.0,,Iguanidae
35278,35341,20.0,,Iguana
35341,35342,10.0,62,Iguana iguana
85552,35360,30.0,,Lacertidae
1118992,35526,20.0,,Podarcis
85552,36074,30.0,,Phrynosomatidae
797562,36090,20.0,,Uta
36090,36094,10.0,63,Uta stansburiana
797562,36141,20.0,,Sceloporus
36141,36202,10.0,64,Sceloporus olivaceus
36141,36204,10.0,65,Sceloporus occidentalis
200152,36362,20.0,,Anolis
36362,36514,10.0,66,Anolis carolinensis
85552,36982,30.0,,Scincidae
787700,37763,20.0,,Plestiodon
26036,39532,40.0,,Testudines
39532,39680,30.0,,Chelydridae
39680,39681,20.0,,Chelydra
39681,39682,10.0,67,Chelydra serpentina
39532,39760,30.0,,Emydidae
797544,39770,20.0,,Chrysemys
39770,39771,10.0,68,Chrysemys picta
797544,39776,20.0,,Trachemys
39776,39782,10.0,69,Trachemys scripta
355675,40151,50.0,,Mammalia
848324,41573,40.0,,Carnivora
41573,41636,30.0,,Ursidae
846255,41637,20.0,,Ursus
41637,41638,10.0,70,Ursus americanus
41573,41660,30.0,,Procyonidae
41660,41661,20.0,,Procyon
41661,41663,10.0,71,Procyon lotor
41573,42043,30.0,,Canidae
42043,42044,20.0,,Canis
42044,42051,10.0,72,Canis latrans
42043,42054,20.0,,Vulpes
42054,42069,10.0,73,Vulpes vulpes
424850,42158,30.0,,Cervidae
846324,42219,20.0,,Odocoileus
42219,42220,10.0,74,Odocoileus hemionus
42219,42223,10.0,75,Odocoileus virginianus
848319,42540,40.0,,Didelphimorphia
42540,42541,30.0,,Didelphidae
846338,42646,20.0,,Didelphis
42646,42652,10.0,76,Didelphis virginiana
848323,43094,40.0,,Lagomorpha
43094,43095,30.0,,Leporidae
43095,43096,20.0,,Sylvilagus
43096,43111,10.0,77,Sylvilagus floridanus
848323,43698,40.0,,Rodentia
870764,43791,30.0,,Castoridae
43791,43792,20.0,,Castor
43792,43794,10.0,78,Castor canadensis
129411,45933,30.0,,Sciuridae
339575,45994,20.0,,Sciurus
45994,46017,10.0,79,Sciurus carolinensis
45994,46020,10.0,80,Sciurus niger
520586,46217,10.0,81,Tamias striatus
339575,46257,20.0,,Tamiasciurus
46257,46260,10.0,82,Tamiasciurus hudsonicus
47115,47114,50.0,,Gastropoda
1,47115,60.0,,Mollusca
47119,47118,40.0,,Araneae
245097,47119,50.0,,Arachnida
1,47120,60.0,,Arthropoda
47123,47122,30.0,,Fabaceae
47124,47123,40.0,,Fabales
47125,47124,50.0,,Magnoliopsida
211194,47125,57.0,,Angiospermae
,47126,70.0,,Plantae
47124,47132,40.0,,Rosales
47132,47148,30.0,,Rosaceae
48151,47151,30.0,,Scrophulariaceae
184884,47157,40.0,,Lepidoptera
372739,47158,50.0,,Insecta
47163,47162,40.0,,Poales
47125,47163,50.0,,Liliopsida
1094814,47167,40.0,,Agaricales
47170,47169,60.0,,Basidiomycota
,47170,70.0,,Fungi
355675,47178,50.0,,Actinopterygii
47124,47181,40.0,,Ericales
144113,47186,40.0,,Decapoda
473790,47187,50.0,,Malacostraca
47189,47188,10.0,83,Pachygrapsus crassipes
47190,47189,20.0,,Pachygrapsus
47191,47190,30.0,,Grapsidae
706188,47191,33.0,,Grapsoidea
47193,47192,10.0,84,Cornus canadensis
47194,47193,20.0,,Cornus
47195,47194,30.0,,Cornaceae
47124,47195,40.0,,Cornales
184884,47201,40.0,,Hymenoptera
71275,47204,30.0,,Brassicaceae
372854,47207,33.0,,Elateroidea
184884,47208,40.0,,Coleoptera
47214,47213,30.0,,Sphingidae
47157,47214,33.0,,Bombycoidea
47218,47217,30.0,,Orchidaceae
47163,47218,40.0,,Asparagales
578086,47219,10.0,85,Apis mellifera
538904,47220,20.0,,Apis
630955,47221,30.0,,Apidae
326777,47222,33.0,,Apoidea
47224,47223,30.0,,Papilionidae
47157,47224,33.0,,Papilionoidea
207785,47225,20.0,,Papilio
545186,47226,10.0,86,Papilio rutulus
47178,47233,40.0,,Perciformes
47329,47328,30.0,,Liliaceae
47163,47329,40.0,,Liliales
48232,47332,30.0,,Papaveraceae
48740,47336,30.0,,Formicidae
922113,47351,20.0,,Prunus
47363,47362,30.0,,Apocynaceae
47124,47363,40.0,,Gentianales
47124,47366,40.0,,Caryophyllales
47375,47374,30.0,,Cupressaceae
136329,47375,40.0,,Pinales
47379,47378,20.0,,Trametes
47380,47379,30.0,,Polyporaceae
50814,47380,40.0,,Polyporales
47393,47392,10.0,87,Coprinus comatus
47394,47393,20.0,,Coprinus
785517,47394,30.0,,Agaricaceae
47162,47434,30.0,,Poaceae
47436,47435,10.0,88,Lotus corniculatus
533443,47436,20.0,,Lotus
906897,47483,20.0,,Helix
68625,47484,30.0,,Helicidae
775812,47485,40.0,,Stylommatophora
1,47491,60.0,,Annelida
47522,47516,10.0,89,Oncorhynchus mykiss
47519,47518,10.0,90,Salmo trutta
342904,47519,20.0,,Salmo
47521,47520,30.0,,Salmonidae
47178,47521,40.0,,Salmoniformes
342904,47522,20.0,,Oncorhynchus
47534,47533,50.0,,Anthozoa
1,47534,60.0,,Cnidaria
319384,47535,30.0,,Araneidae
47540,47539,30.0,,Celastraceae
47124,47540,40.0,,Celastrales
922171,47544,20.0,,Rubus
1,47549,60.0,,Echinodermata
1004912,47552,20.0,,Argiope
47562,47561,20.0,,Pinus
47375,47562,30.0,,Pinaceae
47567,47566,20.0,,Populus
51820,47567,30.0,,Salicaceae
47374,47574,20.0,,Juniperus
47115,47584,50.0,,Bivalvia
904149,47588,10.0,91,Cypripedium acaule
211065,47589,20.0,,Cypripedium
47218,47599,30.0,,Asparagaceae
967514,47602,10.0,92,Taraxacum officinale
632701,47603,20.0,,Taraxacum
47605,47604,30.0,,Asteraceae
47124,47605,40.0,,Asterales
121850,47606,27.0,,Arctiinae
47157,47607,33.0,,Noctuoidea
47650,47649,30.0,,Acrididae
700600,47650,33.0,,Acridoidea
184884,47651,40.0,,Orthoptera
47224,47653,30.0,,Hesperiidae
481959,47668,50.0,,Asteroidea
47672,47671,30.0,,Asteriidae
533697,47672,40.0,,Forcipulatida
47685,47684,50.0,,Myxomycetes
47686,47685,60.0,,Mycetozoa
,47686,70.0,,Protozoa
47688,47687,10.0,93,Erodium cicutarium
47689,47688,20.0,,Erodium
47690,47689,30.0,,Geraniaceae
47124,47690,40.0,,Geraniales
47363,47693,30.0,,Rubiaceae
47698,47697,10.0,94,Hesperis matronalis
903187,47698,20.0,,Hesperis
47701,47699,10.0,95,Geranium maculatum
47689,47701,20.0,,Geranium
47727,47726,10.0,96,Acer negundo
58321,47727,20.0,,Acer
47124,47729,40.0,,Sapindales
372784,47734,40.0,,Polydesmida
144128,47735,50.0,,Diplopoda
47743,47742,30.0,,Pentatomidae
372868,47743,33.0,,Pentatomoidea
184884,47744,40.0,,Hemiptera
47747,47746,20.0,,Equisetum
47748,47747,30.0,,Equisetaceae
764793,47748,40.0,,Equisetales
47752,47751,10.0,97,Polystichum munitum
870758,47752,20.0,,Polystichum
961001,47753,30.0,,Dryopteridaceae
764796,47754,40.0,,Polypodiales
47777,47776,10.0,98,Ariolimax columbianus
916897,47777,20.0,,Ariolimax
487049,47778,30.0,,Arionidae
47780,47779,10.0,99,Iris pseudacorus
790633,47780,20.0,,Iris
47218,47781,30.0,,Iridaceae
47783,47782,30.0,,Cambaridae
311310,47783,33.0,,Astacoidea
47791,47790,30.0,,Onagraceae
47124,47791,40.0,,Myrtales
184884,47792,40.0,,Odonata
184884,47793,40.0,,Dermaptera
813994,47796,30.0,,Actiniidae
202756,47797,40.0,,Actiniaria
48848,47802,10.0,100,Lymantria dispar
47819,47818,20.0,,Libellula
47927,47819,30.0,,Libellulidae
184884,47822,40.0,,Diptera
367163,47823,30.0,,Pholcidae
861036,47850,10.0,101,Quercus agrifolia
47852,47851,20.0,,Quercus
47853,47852,30.0,,Fagaceae
47124,47853,40.0,,Fagales
367176,47866,30.0,,Thomisidae
47889,47888,10.0,102,Impatiens capensis
47890,47889,20.0,,Impatiens
47181,47890,30.0,,Balsaminaceae
47366,47903,30.0,,Cactaceae
632069,47906,20.0,,Asclepias
47906,47911,10.0,103,Asclepias syriaca
47906,47912,10.0,104,Asclepias tuberosa
47917,47916,10.0,105,Actias luna
125080,47917,20.0,,Actias
47214,47918,30.0,,Saturniidae
47920,47919,10.0,106,Antheraea polyphemus
125080,47920,20.0,,Antheraea
47224,47922,30.0,,Nymphalidae
47224,47923,30.0,,Lycaenidae
426081,47925,30.0,,Coenagrionidae
47792,47927,37.0,,Anisoptera
47792,47928,37.0,,Zygoptera
47928,47929,30.0,,Calopterygidae
47818,47934,10.0,107,Libellula luctuosa
963992,47961,30.0,,Cerambycidae
47977,47975,10.0,108,Argia apicalis
47925,47977,20.0,,Argia
47981,47980,10.0,109,Speyeria cybele
134168,47981,20.0,,Speyeria
47605,48040,30.0,,Campanulaceae
791932,48063,20.0,,Lysimachia
47181,48064,30.0,,Primulaceae
47163,48073,40.0,,Alismatales
372853,48089,34.0,,Schizophora
47822,48091,37.0,,Brachycera
48096,48094,10.0,110,Dryocampa rubicunda
125085,48096,20.0,,Dryocampa
47727,48098,10.0,111,Acer rubrum
1097016,48111,30.0,,Mantidae
184884,48112,40.0,,Mantodea
367200,48139,30.0,,Salticidae
144114,48147,40.0,,Isopoda
523723,48150,30.0,,Boraginaceae
47124,48151,40.0,,Lamiales
47233,48158,30.0,,Percidae
48202,48201,30.0,,Scarabaeidae
702480,48202,33.0,,Scarabaeoidea
48218,48217,20.0,,Fucus
48219,48218,30.0,,Fucaceae
48220,48219,40.0,,Fucales
48221,48220,50.0,,Phaeophyceae
48222,48221,60.0,,Ochrophyta
,48222,70.0,,Chromista
48226,48225,10.0,112,Eschscholzia californica
889631,48226,20.0,,Eschscholzia
48230,48229,10.0,113,Ranunculus repens
746715,48230,20.0,,Ranunculus
48232,48231,30.0,,Ranunculaceae
47124,48232,40.0,,Ranunculales
48241,48240,10.0,114,Erythronium americanum
859161,48241,20.0,,Erythronium
746708,48245,20.0,,Aquilegia
47170,48250,60.0,,Ascomycota
47562,48255,20.0,,Tsuga
48257,48256,10.0,115,Pseudotsuga menziesii
47562,48257,20.0,,Pseudotsuga
48290,48284,10.0,116,Oniscus asellus
48291,48290,20.0,,Oniscus
343798,48291,30.0,,Oniscidae
48296,48295,20.0,,Armadillidium
343798,48296,30.0,,Armadillidiidae
952186,48327,40.0,,Lecanorales
50814,48341,40.0,,Russulales
48151,48377,30.0,,Bignoniaceae
47366,48382,30.0,,Polygonaceae
118249,48419,20.0,,Amanita
785522,48420,30.0,,Pluteaceae
895657,48431,20.0,,Laetiporus
931408,48439,20.0,,Chenopodium
48444,48443,10.0,117,Lycoperdon perlatum
48445,48444,20.0,,Lycoperdon
785517,48445,30.0,,Lycoperdaceae
790770,48461,10.0,118,Pinus ponderosa
