parent_taxon_id,taxon_id,class_id,rank_level,leaf_class_id,name
,1,0,70,,Animalia
1,2,0,60,,Chordata
2,3,0,50,,Aves
3,4,0,40,,Gruiformes
4,5,0,30,,Aramidae
5,6,0,20,,Aramus
6,7,0,10,0,Aramus guarauna
71262,12,1,30,,Cariamidae
12,13,1,20,,Cariama
13,14,1,10,1,Cariama cristata
71263,17,2,30,,Eurypygidae
17,18,2,20,,Eurypyga
18,19,2,10,2,Eurypyga helias
4,23,3,30,,Gruidae
508058,34,3,10,3,Grus americana
508058,41,4,10,4,Grus grus
200987,46,3,20,,Buphagus
23,49,4,20,,Balearica
49,53,5,10,5,Balearica regulorum
200973,56,5,20,,Callaeas
4,58,4,30,,Heliornithidae
58,67,6,20,,Heliornis
67,68,6,10,6,Heliornis fulica
71266,75,5,30,,Otididae
75,84,7,20,7,Neotis
75,92,8,20,,Eupodotis
75,107,9,20,,Ardeotis
107,115,7,10,8,Ardeotis kori
119157,133,10,20,,Nymphicus
4,154,6,30,,Rallidae
154,155,11,20,,Porzana
155,162,8,10,9,Porzana carolina
154,194,12,20,,Amaurornis
194,199,9,10,10,Amaurornis phoenicurus
154,212,13,20,,Rallus
212,243,10,10,11,Rallus limicola
154,289,14,20,12,Pardirallus
154,313,15,20,13,Laterallus
154,356,16,20,,Gallinula
356,357,11,10,14,Gallinula tenebrosa
154,386,17,20,,Gallirallus
386,401,12,10,15,Gallirallus philippensis
386,436,13,10,16,Gallirallus australis
154,444,18,20,,Aramides
154,472,19,20,,Fulica
472,473,14,10,17,Fulica americana
472,478,15,10,18,Fulica alai
472,482,16,10,19,Fulica atra
472,487,17,10,20,Fulica cristata
472,488,18,10,21,Fulica armillata
154,502,20,20,,Porphyrio
502,519,19,10,22,Porphyrio martinica
3,573,1,40,,Galliformes
573,574,7,30,,Phasianidae
574,596,21,20,,Francolinus
596,685,20,10,23,Francolinus pondicerianus
574,790,22,20,24,Coturnix
574,826,23,20,,Perdix
826,831,21,10,25,Perdix perdix
574,845,24,20,,Alectoris
845,846,22,10,26,Alectoris chukar
845,867,23,10,27,Alectoris rufa
574,879,25,20,,Gallus
879,882,24,10,28,Gallus gallus
574,889,26,20,,Bonasa
889,890,25,10,29,Bonasa umbellus
574,905,27,20,,Meleagris
905,906,26,10,30,Meleagris gallopavo
905,913,27,10,31,Meleagris ocellata
574,930,28,20,,Lagopus
930,931,28,10,32,Lagopus lagopus
930,949,29,10,33,Lagopus muta
930,974,30,10,34,Lagopus leucura
574,980,29,20,,Phasianus
980,981,31,10,35,Phasianus colchicus
574,1025,30,20,,Tetrao
574,1065,31,20,,Tympanuchus
1065,1070,32,10,36,Tympanuchus phasianellus
574,1079,32,20,,Lophura
1079,1081,33,10,37,Lophura leucomelanos
574,1199,33,20,,Pavo
1199,1204,34,10,38,Pavo cristatus
574,1229,34,20,,Chrysolophus
1229,1230,35,10,39,Chrysolophus pictus
200983,1238,35,20,,Hippolais
574,1240,36,20,,Dendragapus
1240,1241,36,10,40,Dendragapus obscurus
574,1263,37,20,,Centrocercus
1263,1264,37,10,41,Centrocercus urophasianus
573,1278,8,30,,Odontophoridae
1278,1279,38,20,,Colinus
1279,1280,38,10,42,Colinus virginianus
1278,1390,39,20,,Cyrtonyx
